ID,Element_Name,Category,Value
1,Element_001,Type B,10
2,Element_002,Type A,20
3,Element_003,Type B,30
4,Element_004,Type A,40
5,Element_005,Type B,50
6,Element_006,Type A,60
7,Element_007,Type B,70
8,Element_008,Type A,80
9,Element_009,Type B,90
10,Element_010,Type A,100
11,Element_011,Type B,110
12,Element_012,Type A,120
13,Element_013,Type B,130
14,Element_014,Type A,140
15,Element_015,Type B,150
16,Element_016,Type A,160
17,Element_017,Type B,170
18,Element_018,Type A,180
19,Element_019,Type B,190
20,Element_020,Type A,200
21,Element_021,Type B,210
22,Element_022,Type A,220
23,Element_023,Type B,230
24,Element_024,Type A,240
25,Element_025,Type B,250
26,Element_026,Type A,260
27,Element_027,Type B,270
28,Element_028,Type A,280
29,Element_029,Type B,290
30,Element_030,Type A,300
31,Element_031,Type B,310
32,Element_032,Type A,320
33,Element_033,Type B,330
34,Element_034,Type A,340
35,Element_035,Type B,350
36,Element_036,Type A,360
37,Element_037,Type B,370
38,Element_038,Type A,380
39,Element_039,Type B,390
40,Element_040,Type A,400
41,Element_041,Type B,410
42,Element_042,Type A,420
43,Element_043,Type B,430
44,Element_044,Type A,440
45,Element_045,Type B,450
46,Element_046,Type A,460
47,Element_047,Type B,470
48,Element_048,Type A,480
49,Element_049,Type B,490
50,Element_050,Type A,500
51,Element_051,Type B,510
52,Element_052,Type A,520
53,Element_053,Type B,530
54,Element_054,Type A,540
55,Element_055,Type B,550
56,Element_056,Type A,560
57,Element_057,Type B,570
58,Element_058,Type A,580
59,Element_059,Type B,590
60,Element_060,Type A,600
61,Element_061,Type B,610
62,Element_062,Type A,620
63,Element_063,Type B,630
64,Element_064,Type A,640
65,Element_065,Type B,650
66,Element_066,Type A,660
67,Element_067,Type B,670
68,Element_068,Type A,680
69,Element_069,Type B,690
70,Element_070,Type A,700
71,Element_071,Type B,710
72,Element_072,Type A,720
73,Element_073,Type B,730
74,Element_074,Type A,740
75,Element_075,Type B,750
76,Element_076,Type A,760
77,Element_077,Type B,770
78,Element_078,Type A,780
79,Element_079,Type B,790
80,Element_080,Type A,800
81,Element_081,Type B,810
82,Element_082,Type A,820
83,Element_083,Type B,830
84,Element_084,Type A,840
85,Element_085,Type B,850
86,Element_086,Type A,860
87,Element_087,Type B,870
88,Element_088,Type A,880
89,Element_089,Type B,890
90,Element_090,Type A,900
91,Element_091,Type B,910
92,Element_092,Type A,920
93,Element_093,Type B,930
94,Element_094,Type A,940
95,Element_095,Type B,950
96,Element_096,Type A,960
97,Element_097,Type B,970
98,Element_098,Type A,980
99,Element_099,Type B,990
100,Element_100,Type A,1000
101,Element_101,Type B,1010
102,Element_102,Type A,1020
103,Element_103,Type B,1030
104,Element_104,Type A,1040
105,Element_105,Type B,1050
106,Element_106,Type A,1060
107,Element_107,Type B,1070
108,Element_108,Type A,1080
109,Element_109,Type B,1090
110,Element_110,Type A,1100
111,Element_111,Type B,1110
112,Element_112,Type A,1120
113,Element_113,Type B,1130
114,Element_114,Type A,1140
115,Element_115,Type B,1150
116,Element_116,Type A,1160
117,Element_117,Type B,1170
118,Element_118,Type A,1180
119,Element_119,Type B,1190
120,Element_120,Type A,1200
121,Element_121,Type B,1210
122,Element_122,Type A,1220
123,Element_123,Type B,1230
124,Element_124,Type A,1240
125,Element_125,Type B,1250
126,Element_126,Type A,1260
127,Element_127,Type B,1270
128,Element_128,Type A,1280
129,Element_129,Type B,1290
130,Element_130,Type A,1300
131,Element_131,Type B,1310
132,Element_132,Type A,1320
133,Element_133,Type B,1330
134,Element_134,Type A,1340
135,Element_135,Type B,1350
136,Element_136,Type A,1360
137,Element_137,Type B,1370
138,Element_138,Type A,1380
139,Element_139,Type B,1390
140,Element_140,Type A,1400
141,Element_141,Type B,1410
142,Element_142,Type A,1420
143,Element_143,Type B,1430
144,Element_144,Type A,1440
145,Element_145,Type B,1450
146,Element_146,Type A,1460
147,Element_147,Type B,1470
148,Element_148,Type A,1480
149,Element_149,Type B,1490
150,Element_150,Type A,1500
151,Element_151,Type B,1510
152,Element_152,Type A,1520
153,Element_153,Type B,1530
154,Element_154,Type A,1540
155,Element_155,Type B,1550
156,Element_156,Type A,1560
157,Element_157,Type B,1570
158,Element_158,Type A,1580
159,Element_159,Type B,1590
160,Element_160,Type A,1600
161,Element_161,Type B,1610
162,Element_162,Type A,1620
163,Element_163,Type B,1630
164,Element_164,Type A,1640
165,Element_165,Type B,1650
166,Element_166,Type A,1660
167,Element_167,Type B,1670
168,Element_168,Type A,1680
169,Element_169,Type B,1690
170,Element_170,Type A,1700
171,Element_171,Type B,1710
172,Element_172,Type A,1720
173,Element_173,Type B,1730
174,Element_174,Type A,1740
175,Element_175,Type B,1750
176,Element_176,Type A,1760
177,Element_177,Type B,1770
178,Element_178,Type A,1780
179,Element_179,Type B,1790
180,Element_180,Type A,1800
181,Element_181,Type B,1810
182,Element_182,Type A,1820
183,Element_183,Type B,1830
184,Element_184,Type A,1840
185,Element_185,Type B,1850
186,Element_186,Type A,1860
187,Element_187,Type B,1870
188,Element_188,Type A,1880
189,Element_189,Type B,1890
190,Element_190,Type A,1900
191,Element_191,Type B,1910
192,Element_192,Type A,1920
193,Element_193,Type B,1930
194,Element_194,Type A,1940
195,Element_195,Type B,1950
196,Element_196,Type A,1960
197,Element_197,Type B,1970
198,Element_198,Type A,1980
199,Element_199,Type B,1990
200,Element_200,Type A,2000
201,Element_201,Type B,2010
202,Element_202,Type A,2020
203,Element_203,Type B,2030
204,Element_204,Type A,2040
205,Element_205,Type B,2050
206,Element_206,Type A,2060
207,Element_207,Type B,2070
208,Element_208,Type A,2080
209,Element_209,Type B,2090
210,Element_210,Type A,2100
211,Element_211,Type B,2110
212,Element_212,Type A,2120
213,Element_213,Type B,2130
214,Element_214,Type A,2140
215,Element_215,Type B,2150
216,Element_216,Type A,2160
217,Element_217,Type B,2170
218,Element_218,Type A,2180
219,Element_219,Type B,2190
220,Element_220,Type A,2200
221,Element_221,Type B,2210
222,Element_222,Type A,2220
223,Element_223,Type B,2230
224,Element_224,Type A,2240
225,Element_225,Type B,2250
226,Element_226,Type A,2260
227,Element_227,Type B,2270
228,Element_228,Type A,2280
229,Element_229,Type B,2290
230,Element_230,Type A,2300
231,Element_231,Type B,2310
232,Element_232,Type A,2320
233,Element_233,Type B,2330
234,Element_234,Type A,2340
235,Element_235,Type B,2350
236,Element_236,Type A,2360
237,Element_237,Type B,2370
238,Element_238,Type A,2380
239,Element_239,Type B,2390
240,Element_240,Type A,2400
241,Element_241,Type B,2410
242,Element_242,Type A,2420
243,Element_243,Type B,2430
244,Element_244,Type A,2440
245,Element_245,Type B,2450
246,Element_246,Type A,2460
247,Element_247,Type B,2470
248,Element_248,Type A,2480
249,Element_249,Type B,2490
250,Element_250,Type A,2500
